Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-8.0,5
6,-8.333333333333334,5
7,-8.571428571428571,5
8,-8.75,5
9,-8.88888888888889,5
10,-9.0,5
11,-9.090909090909092,5
12,-9.166666666666666,5
13,-9.23076923076923,5
14,-9.285714285714286,5
15,-9.333333333333334,5
16,-9.375,5
17,-9.411764705882353,5
18,-9.444444444444445,5
19,-9.473684210526315,5
20,-9.5,5
21,-9.523809523809524,5
22,-9.545454545454545,5
23,-9.565217391304348,5
24,-9.583333333333334,5
25,-9.6,5
26,-9.615384615384615,5
27,-9.62962962962963,5
28,-9.642857142857142,5
29,-9.655172413793103,5
30,-9.666666666666666,5
31,-9.67741935483871,5
32,-9.6875,5
33,-9.696969696969697,5
34,-9.705882352941176,5
35,-9.714285714285714,5
36,-9.722222222222221,5
37,-9.72972972972973,5
38,-9.736842105263158,5
39,-9.743589743589743,5
40,-9.75,5
41,-9.512195121951219,5
42,-9.523809523809524,5
43,-9.534883720930232,5
44,-9.318181818181818,5
45,-9.333333333333334,5
46,-9.347826086956522,5
47,-9.361702127659575,5
48,-9.375,5
49,-9.387755102040817,5
50,-9.4,5
51,-9.411764705882353,5
52,-9.423076923076923,5
53,-9.433962264150944,5
54,-9.444444444444445,5
55,-9.454545454545455,5
56,-9.285714285714286,5
57,-9.298245614035087,5
58,-9.310344827586206,5
59,-9.152542372881356,5
60,-9.166666666666666,5
61,-9.180327868852459,5
62,-9.193548387096774,5
63,-9.206349206349206,5
64,-9.0625,5
65,-9.076923076923077,5
66,-9.090909090909092,5
67,-9.104477611940299,5
68,-9.117647058823529,5
69,-9.130434782608695,5
70,-9.142857142857142,5
71,-9.154929577464788,5
72,-9.166666666666666,5
73,-9.178082191780822,5
74,-9.18918918918919,5
75,-9.066666666666666,5
76,-9.078947368421053,5
77,-8.96103896103896,5
78,-8.974358974358974,5
79,-8.987341772151899,5
80,-9.0,5
81,-9.012345679012345,5
82,-9.024390243902438,5
83,-9.036144578313253,5
84,-8.928571428571429,5
85,-8.941176470588236,5
86,-8.953488372093023,5
87,-8.96551724137931,5
88,-8.977272727272727,5
89,-8.98876404494382,5
90,-8.88888888888889,5
91,-8.901098901098901,5
92,-8.91304347826087,5
93,-8.924731182795698,5
94,-8.936170212765957,5
95,-8.947368421052632,5
96,-8.958333333333334,5
97,-8.969072164948454,5
98,-8.979591836734693,5
99,-8.98989898989899,5
100,-9.0,5
101,-9.009900990099009,5
102,-8.92156862745098,5
103,-8.932038834951456,5
104,-8.942307692307692,5
105,-8.952380952380953,5
106,-8.867924528301886,5
107,-8.785046728971963,5
108,-8.703703703703704,5
109,-8.715596330275229,5
110,-8.636363636363637,5
111,-8.558558558558559,5
112,-8.571428571428571,5
113,-8.584070796460177,5
114,-8.596491228070175,5
115,-8.608695652173912,5
116,-8.620689655172415,5
117,-8.632478632478632,5
