Number Of Games,Average Reward,High Score
1,0.0,0
2,-5.0,0
3,-6.666666666666667,0
4,-7.5,0
5,-8.0,0
6,-8.333333333333334,0
7,-8.571428571428571,0
8,-8.75,0
9,-8.88888888888889,0
10,-9.0,0
11,-9.090909090909092,0
12,-9.166666666666666,0
13,-9.23076923076923,0
14,-9.285714285714286,0
15,-9.333333333333334,0
16,-9.375,0
17,-9.411764705882353,0
18,-9.444444444444445,0
19,-9.473684210526315,0
20,-9.5,0
21,-9.523809523809524,0
22,-9.545454545454545,0
23,-9.565217391304348,0
24,-9.166666666666666,5
25,-9.2,5
26,-9.23076923076923,5
27,-9.25925925925926,5
28,-9.285714285714286,5
29,-9.310344827586206,5
30,-9.0,5
31,-9.03225806451613,5
32,-9.0625,5
33,-9.090909090909092,5
34,-9.117647058823529,5
35,-8.857142857142858,5
36,-8.88888888888889,5
37,-8.91891891891892,5
38,-8.68421052631579,5
39,-8.717948717948717,5
40,-8.75,5
41,-8.536585365853659,5
42,-8.571428571428571,5
43,-8.372093023255815,5
44,-8.181818181818182,5
45,-8.222222222222221,5
46,-8.26086956521739,5
47,-8.297872340425531,5
48,-8.125,5
49,-7.959183673469388,5
50,-8.0,5
51,-7.8431372549019605,5
52,-7.884615384615385,5
53,-7.547169811320755,10
54,-7.592592592592593,10
55,-7.636363636363637,10
56,-7.678571428571429,10
57,-7.368421052631579,10
58,-7.068965517241379,10
59,-7.11864406779661,10
60,-6.5,20
61,-6.229508196721311,20
62,-6.290322580645161,20
63,-6.349206349206349,20
64,-6.40625,20
65,-5.846153846153846,20
66,-5.909090909090909,20
67,-5.373134328358209,20
68,-4.705882352941177,25
69,-4.3478260869565215,25
70,-4.285714285714286,25
71,-4.084507042253521,25
72,-4.027777777777778,25
73,-4.109589041095891,25
74,-3.918918918918919,25
75,-4.0,25
76,-3.289473684210526,30
77,-2.857142857142857,30
78,-2.5641025641025643,30
79,-2.5316455696202533,30
80,-2.625,30
81,-2.7160493827160495,30
82,-2.682926829268293,30
83,-2.289156626506024,30
84,-1.6666666666666667,30
85,-1.6470588235294117,30
86,-1.627906976744186,30
87,-1.4942528735632183,30
88,-1.3636363636363635,30
89,-1.2359550561797752,30
90,-1.2222222222222223,30
91,-1.3186813186813187,30
92,-1.4130434782608696,30
93,-1.075268817204301,30
94,-0.7446808510638298,30
95,-0.3157894736842105,30
96,0.625,50
97,0.5154639175257731,50
98,0.8163265306122449,50
99,2.0202020202020203,65
100,2.1,65
101,2.376237623762376,65
102,3.5294117647058822,65
103,3.592233009708738,65
104,3.8461538461538463,65
105,3.7142857142857144,65
106,3.6792452830188678,65
107,4.672897196261682,65
108,5.462962962962963,65
109,6.238532110091743,65
110,6.181818181818182,65
111,6.486486486486487,65
112,6.607142857142857,65
113,6.902654867256637,65
114,7.368421052631579,65
115,7.304347826086956,65
116,7.241379310344827,65
117,7.6068376068376065,65
118,8.05084745762712,65
119,8.235294117647058,65
120,8.25,65
121,9.090909090909092,65
122,9.180327868852459,65
123,9.105691056910569,65
124,9.35483870967742,65
125,9.44,65
126,9.444444444444445,65
127,9.606299212598426,65
128,9.609375,65
129,9.612403100775193,65
130,9.76923076923077,65
131,9.84732824427481,65
132,9.772727272727273,65
133,9.699248120300751,65
134,9.776119402985074,65
135,10.074074074074074,65
136,10.0,65
137,10.072992700729927,65
138,10.0,65
139,10.431654676258994,65
140,10.428571428571429,65
141,10.354609929078014,65
142,10.492957746478874,65
143,10.6993006993007,65
144,10.694444444444445,65
145,10.620689655172415,65
146,10.547945205479452,65
147,11.700680272108844,95
148,11.891891891891891,95
149,12.281879194630873,95
150,12.8,95
151,13.04635761589404,95
152,13.223684210526315,95
153,13.660130718954248,95
154,14.285714285714286,95
155,14.903225806451612,95
156,14.807692307692308,95
157,14.713375796178344,95
158,15.063291139240507,95
159,15.283018867924529,95
160,15.5,95
161,15.46583850931677,95
162,15.987654320987655,95
163,16.319018404907975,95
164,16.28048780487805,95
165,16.96969696969697,95
166,16.987951807228917,95
167,17.24550898203593,95
168,17.5,95
169,17.514792899408285,95
170,17.529411764705884,95
171,18.07017543859649,95
172,18.25581395348837,95
173,18.55491329479769,95
174,18.620689655172413,95
175,18.914285714285715,95
176,18.75,95
177,18.983050847457626,95
178,19.213483146067414,95
179,20.11173184357542,95
180,20.38888888888889,95
181,20.607734806629836,95
182,20.54945054945055,95
183,20.92896174863388,95
184,21.956521739130434,110
185,22.16216216216216,110
186,22.473118279569892,110
187,22.994652406417114,110
188,23.138297872340427,110
189,23.12169312169312,110
190,23.36842105263158,110
191,23.403141361256544,110
192,23.541666666666668,110
193,23.678756476683937,110
194,23.8659793814433,110
195,24.358974358974358,110
196,25.0,110
197,25.32994923857868,110
198,25.404040404040405,110
199,25.42713567839196,110
200,25.9,110
201,25.920398009950247,110
202,26.08910891089109,110
203,26.108374384236452,110
204,26.176470588235293,110
205,26.341463414634145,110
206,26.21359223300971,110
207,26.666666666666668,110
208,26.778846153846153,110
209,26.794258373205743,110
210,26.857142857142858,110
211,26.919431279620852,110
212,27.07547169811321,110
213,28.07511737089202,125
214,28.08411214953271,125
215,28.186046511627907,125
216,28.564814814814813,125
217,28.47926267281106,125
218,28.761467889908257,125
219,28.63013698630137,125
220,28.636363636363637,125
221,28.823529411764707,125
222,29.00900900900901,125
223,29.192825112107624,125
224,29.598214285714285,125
225,29.733333333333334,125
226,29.82300884955752,125
227,30.176211453744493,125
228,30.263157894736842,125
229,30.21834061135371,125
230,30.652173913043477,125
231,31.21212121212121,125
232,31.29310344827586,125
233,31.373390557939913,125
234,31.623931623931625,125
235,31.70212765957447,125
236,31.52542372881356,125
237,32.0253164556962,125
238,32.05882352941177,125
239,32.05020920502092,125
240,32.416666666666664,125
241,32.531120331950206,125
242,32.85123966942149,125
243,33.16872427983539,125
244,33.15573770491803,125
245,33.142857142857146,125
246,33.292682926829265,125
247,33.31983805668016,125
248,33.62903225806452,125
249,34.41767068273092,125
250,34.32,125
251,34.30278884462152,125
252,34.12698412698413,125
253,34.26877470355731,125
254,34.25196850393701,125
255,34.31372549019608,125
256,34.453125,125
257,34.59143968871595,125
258,35.1937984496124,125
259,35.01930501930502,125
260,35.07692307692308,125
261,35.13409961685824,125
262,35.038167938931295,125
263,35.51330798479088,125
264,35.378787878787875,125
265,36.075471698113205,125
266,36.05263157894737,125
267,36.06741573033708,125
268,36.007462686567166,125
269,35.985130111524164,125
270,36.44444444444444,125
271,36.678966789667896,125
272,36.580882352941174,125
273,36.99633699633699,125
274,36.97080291970803,125
275,36.872727272727275,125
276,36.992753623188406,125
277,36.85920577617328,125
278,37.014388489208635,125
279,37.204301075268816,125
