Number Of Games,Average Reward,High Score
1,0.0,0
2,-5.0,0
3,-6.666666666666667,0
4,-7.5,0
5,-8.0,0
6,-8.333333333333334,0
7,-8.571428571428571,0
8,-8.75,0
9,-8.88888888888889,0
10,-9.0,0
11,-9.090909090909092,0
12,-9.166666666666666,0
13,-9.23076923076923,0
14,-9.285714285714286,0
15,-9.333333333333334,0
16,-9.375,0
17,-9.411764705882353,0
18,-9.444444444444445,0
19,-9.473684210526315,0
20,-9.5,0
21,-9.523809523809524,0
22,-9.545454545454545,0
23,-9.565217391304348,0
24,-9.583333333333334,0
25,-9.6,0
26,-9.615384615384615,0
27,-9.62962962962963,0
28,-9.642857142857142,0
29,-9.310344827586206,5
30,-9.333333333333334,5
31,-9.35483870967742,5
32,-9.375,5
33,-9.393939393939394,5
34,-8.823529411764707,10
35,-8.857142857142858,10
36,-8.88888888888889,10
37,-8.91891891891892,10
38,-8.947368421052632,10
39,-8.974358974358974,10
40,-9.0,10
41,-9.024390243902438,10
42,-9.047619047619047,10
43,-9.069767441860465,10
44,-9.090909090909092,10
45,-9.11111111111111,10
46,-9.130434782608695,10
47,-9.148936170212766,10
48,-8.958333333333334,10
49,-8.979591836734693,10
50,-9.0,10
51,-9.019607843137255,10
52,-9.038461538461538,10
53,-8.867924528301886,10
54,-8.88888888888889,10
55,-8.727272727272727,10
56,-8.75,10
57,-8.771929824561404,10
58,-8.620689655172415,10
59,-8.64406779661017,10
60,-8.666666666666666,10
61,-8.688524590163935,10
62,-8.548387096774194,10
63,-8.571428571428571,10
64,-8.59375,10
65,-8.615384615384615,10
66,-8.333333333333334,10
67,-8.35820895522388,10
68,-8.382352941176471,10
69,-8.405797101449275,10
70,-8.142857142857142,10
71,-7.887323943661972,10
72,-7.916666666666667,10
73,-7.808219178082192,10
74,-7.702702702702703,10
75,-7.466666666666667,10
76,-7.2368421052631575,10
77,-7.2727272727272725,10
78,-7.051282051282051,10
79,-6.8354430379746836,10
80,-6.875,10
81,-6.91358024691358,10
82,-6.7073170731707314,10
83,-6.626506024096385,10
84,-6.666666666666667,10
85,-6.588235294117647,10
86,-6.511627906976744,10
87,-6.436781609195402,10
88,-6.363636363636363,10
89,-6.067415730337078,15
90,-5.888888888888889,15
91,-5.934065934065934,15
92,-5.978260869565218,15
93,-6.021505376344086,15
94,-5.851063829787234,15
95,-5.578947368421052,15
96,-5.416666666666667,15
97,-5.257731958762887,15
98,-5.1020408163265305,15
99,-5.05050505050505,15
100,-5.1,15
101,-5.0495049504950495,15
102,-4.705882352941177,20
103,-4.563106796116505,20
104,-4.326923076923077,20
105,-4.285714285714286,20
106,-4.245283018867925,20
107,-3.6448598130841123,35
108,-3.240740740740741,35
109,-3.302752293577982,35
110,-3.3636363636363638,35
111,-3.3333333333333335,35
112,-3.392857142857143,35
113,-2.920353982300885,35
114,-2.807017543859649,35
115,-2.869565217391304,35
116,-2.7586206896551726,35
117,-2.735042735042735,35
118,-2.288135593220339,35
119,-1.9327731092436975,35
120,-1.5,35
121,-1.0743801652892562,35
122,-0.9016393442622951,35
123,-0.8130081300813008,35
124,-0.6451612903225806,35
125,-0.56,35
126,-0.07936507936507936,35
127,0.15748031496062992,35
128,0.78125,45
129,0.7751937984496124,45
130,1.3846153846153846,45
131,1.6030534351145038,45
132,1.6666666666666667,45
133,1.8796992481203008,45
134,3.3582089552238807,105
135,3.3333333333333335,105
136,3.8970588235294117,105
137,3.8686131386861313,105
138,4.782608695652174,105
139,5.179856115107913,105
140,5.285714285714286,105
141,5.319148936170213,105
142,5.422535211267606,105
143,5.384615384615385,105
144,5.347222222222222,105
145,5.517241379310345,105
146,5.684931506849315,105
147,6.462585034013605,105
148,6.824324324324325,105
149,6.7114093959731544,105
150,6.8,105
151,6.887417218543046,105
152,6.907894736842105,105
153,7.3202614379084965,105
154,7.467532467532467,105
155,7.354838709677419,105
156,7.6923076923076925,105
157,7.961783439490445,105
158,8.227848101265822,105
159,8.11320754716981,105
160,8.125,105
161,8.136645962732919,105
162,8.580246913580247,105
163,8.466257668711657,105
164,8.902439024390244,105
165,9.212121212121213,105
166,9.63855421686747,105
167,10.059880239520957,105
168,10.357142857142858,105
169,10.47337278106509,105
170,10.705882352941176,105
171,11.52046783625731,105
172,12.616279069767442,105
173,12.77456647398844,105
174,12.816091954022989,105
175,12.8,105
176,12.727272727272727,105
177,12.994350282485875,105
178,12.97752808988764,105
179,13.072625698324023,105
180,13.5,105
181,13.812154696132596,105
182,14.395604395604396,105
183,15.40983606557377,105
184,15.652173913043478,105
185,15.783783783783784,105
186,16.29032258064516,105
187,17.058823529411764,105
188,17.4468085106383,105
189,17.40740740740741,105
190,17.736842105263158,105
191,18.219895287958114,105
192,18.90625,105
193,19.015544041450777,105
194,18.969072164948454,105
195,19.641025641025642,105
196,19.693877551020407,105
197,19.746192893401016,105
198,20.353535353535353,105
199,20.402010050251256,105
200,20.45,105
201,20.398009950248756,105
202,20.544554455445546,105
203,21.428571428571427,105
204,21.813725490196077,105
205,22.0,105
206,22.57281553398058,105
207,23.043478260869566,105
208,22.98076923076923,105
209,23.349282296650717,105
210,23.38095238095238,105
211,23.317535545023695,105
212,23.39622641509434,105
213,23.802816901408452,105
214,24.345794392523363,105
215,24.46511627906977,105
216,24.62962962962963,105
217,24.930875576036865,105
218,25.412844036697248,105
219,25.4337899543379,105
220,25.5,105
221,25.520361990950228,105
222,25.765765765765767,105
223,26.50224215246637,105
224,26.428571428571427,105
225,26.711111111111112,105
226,26.902654867256636,105
227,27.312775330396477,105
228,27.587719298245613,105
229,27.816593886462883,105
230,28.08695652173913,105
231,28.26839826839827,105
232,28.620689655172413,105
233,28.583690987124463,105
234,29.316239316239315,105
235,29.19148936170213,105
236,29.152542372881356,105
237,29.578059071729957,105
238,29.831932773109244,105
239,29.8744769874477,105
240,29.958333333333332,105
241,30.0,105
242,29.876033057851238,105
243,29.876543209876544,105
244,30.450819672131146,105
245,30.408163265306122,105
246,30.284552845528456,105
247,30.242914979757085,105
248,30.241935483870968,105
249,30.6425702811245,105
250,30.48,105
251,30.836653386454184,105
252,30.674603174603174,105
253,30.869565217391305,105
254,30.984251968503937,105
255,31.176470588235293,105
256,31.2109375,105
257,31.47859922178988,105
258,31.434108527131784,105
259,31.698841698841697,105
260,31.615384615384617,105
261,31.57088122605364,105
262,31.870229007633586,105
263,31.863117870722434,105
264,31.96969696969697,105
265,31.81132075471698,105
266,31.69172932330827,105
267,31.61048689138577,105
268,31.64179104477612,105
269,31.635687732342006,105
270,31.51851851851852,105
271,31.365313653136532,105
272,31.433823529411764,105
273,31.28205128205128,105
274,31.16788321167883,105
275,31.563636363636363,105
