Number Of Games,Average Reward,High Score
1,-10.0,0
2,-5.0,5
3,-6.666666666666667,5
4,-7.5,5
5,-8.0,5
6,-8.333333333333334,5
7,-8.571428571428571,5
8,-8.75,5
9,-8.88888888888889,5
10,-9.0,5
11,-9.090909090909092,5
12,-9.166666666666666,5
13,-9.23076923076923,5
14,-9.285714285714286,5
15,-9.333333333333334,5
16,-9.375,5
17,-9.411764705882353,5
18,-9.444444444444445,5
19,-9.473684210526315,5
20,-9.5,5
21,-9.523809523809524,5
22,-9.545454545454545,5
23,-9.565217391304348,5
24,-9.583333333333334,5
25,-9.6,5
26,-9.615384615384615,5
27,-9.62962962962963,5
28,-9.642857142857142,5
29,-9.655172413793103,5
30,-9.666666666666666,5
31,-9.67741935483871,5
32,-9.6875,5
33,-9.393939393939394,5
34,-9.411764705882353,5
35,-9.428571428571429,5
36,-9.444444444444445,5
37,-9.45945945945946,5
38,-9.473684210526315,5
39,-9.487179487179487,5
40,-9.25,5
41,-9.268292682926829,5
42,-9.285714285714286,5
43,-9.30232558139535,5
44,-9.318181818181818,5
45,-9.333333333333334,5
46,-9.347826086956522,5
47,-9.361702127659575,5
48,-9.375,5
49,-9.387755102040817,5
50,-9.4,5
51,-9.411764705882353,5
52,-9.423076923076923,5
53,-9.433962264150944,5
54,-9.444444444444445,5
55,-9.454545454545455,5
56,-9.464285714285714,5
57,-9.473684210526315,5
58,-9.482758620689655,5
59,-9.491525423728813,5
60,-9.5,5
61,-9.508196721311476,5
62,-9.516129032258064,5
63,-9.523809523809524,5
64,-9.53125,5
65,-9.538461538461538,5
66,-9.545454545454545,5
67,-9.402985074626866,5
68,-9.411764705882353,5
69,-9.420289855072463,5
70,-9.428571428571429,5
71,-9.43661971830986,5
72,-9.444444444444445,5
73,-9.452054794520548,5
74,-9.45945945945946,5
75,-9.466666666666667,5
76,-9.473684210526315,5
77,-9.480519480519481,5
78,-9.35897435897436,5
79,-9.367088607594937,5
80,-9.375,5
81,-9.382716049382717,5
82,-9.390243902439025,5
83,-9.397590361445783,5
84,-9.404761904761905,5
85,-9.411764705882353,5
86,-9.30232558139535,5
87,-9.310344827586206,5
88,-9.318181818181818,5
89,-9.325842696629213,5
90,-9.333333333333334,5
91,-9.340659340659341,5
92,-9.347826086956522,5
93,-9.35483870967742,5
94,-9.361702127659575,5
95,-9.368421052631579,5
96,-9.375,5
97,-9.381443298969073,5
98,-9.387755102040817,5
99,-9.393939393939394,5
100,-9.4,5
101,-9.405940594059405,5
102,-9.411764705882353,5
103,-9.41747572815534,5
104,-9.423076923076923,5
105,-9.428571428571429,5
106,-9.433962264150944,5
107,-9.439252336448599,5
108,-9.444444444444445,5
109,-9.357798165137615,5
110,-9.363636363636363,5
111,-9.36936936936937,5
112,-9.375,5
113,-9.380530973451327,5
114,-9.385964912280702,5
115,-9.391304347826088,5
116,-9.39655172413793,5
117,-9.401709401709402,5
118,-9.40677966101695,5
119,-9.411764705882353,5
120,-9.416666666666666,5
121,-9.421487603305785,5
122,-9.426229508196721,5
123,-9.43089430894309,5
124,-9.435483870967742,5
125,-9.44,5
126,-9.444444444444445,5
127,-9.448818897637794,5
128,-9.453125,5
129,-9.457364341085272,5
130,-9.461538461538462,5
131,-9.465648854961833,5
132,-9.393939393939394,5
133,-9.398496240601503,5
134,-9.402985074626866,5
135,-9.407407407407407,5
136,-9.411764705882353,5
137,-9.416058394160585,5
138,-9.420289855072463,5
139,-9.352517985611511,5
140,-9.357142857142858,5
141,-9.361702127659575,5
142,-9.366197183098592,5
143,-9.3006993006993,5
144,-9.305555555555555,5
145,-9.310344827586206,5
146,-9.315068493150685,5
147,-9.319727891156463,5
148,-9.324324324324325,5
149,-9.328859060402685,5
150,-9.333333333333334,5
151,-9.33774834437086,5
152,-9.276315789473685,5
153,-9.281045751633988,5
154,-9.285714285714286,5
155,-9.225806451612904,5
156,-9.23076923076923,5
157,-9.235668789808917,5
