Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-8.571428571428571,5
8,-8.75,5
9,-8.88888888888889,5
10,-9.0,5
11,-9.090909090909092,5
12,-9.166666666666666,5
13,-9.23076923076923,5
14,-9.285714285714286,5
15,-9.333333333333334,5
16,-9.375,5
17,-9.411764705882353,5
18,-9.444444444444445,5
19,-9.473684210526315,5
20,-9.5,5
21,-9.523809523809524,5
22,-9.545454545454545,5
23,-9.565217391304348,5
24,-9.583333333333334,5
25,-9.6,5
26,-9.615384615384615,5
27,-9.62962962962963,5
28,-9.642857142857142,5
29,-9.310344827586206,5
30,-9.333333333333334,5
31,-9.35483870967742,5
32,-9.375,5
33,-9.393939393939394,5
34,-9.117647058823529,5
35,-9.142857142857142,5
36,-9.166666666666666,5
37,-9.18918918918919,5
38,-9.210526315789474,5
39,-9.23076923076923,5
40,-9.0,5
41,-9.024390243902438,5
42,-9.047619047619047,5
43,-9.069767441860465,5
44,-9.090909090909092,5
45,-9.11111111111111,5
46,-9.130434782608695,5
47,-9.148936170212766,5
48,-9.166666666666666,5
49,-9.183673469387756,5
50,-9.2,5
51,-9.215686274509803,5
52,-9.23076923076923,5
53,-9.245283018867925,5
54,-9.25925925925926,5
55,-9.272727272727273,5
56,-9.285714285714286,5
57,-9.298245614035087,5
58,-9.310344827586206,5
59,-9.322033898305085,5
60,-9.333333333333334,5
61,-9.344262295081966,5
62,-9.35483870967742,5
63,-9.365079365079366,5
64,-9.375,5
65,-9.384615384615385,5
66,-9.393939393939394,5
67,-9.402985074626866,5
68,-9.264705882352942,5
69,-9.130434782608695,5
70,-9.142857142857142,5
71,-9.154929577464788,5
72,-9.166666666666666,5
73,-9.178082191780822,5
74,-9.054054054054054,5
75,-9.066666666666666,5
76,-9.078947368421053,5
77,-9.090909090909092,5
78,-9.102564102564102,5
79,-9.113924050632912,5
80,-9.0,5
81,-9.012345679012345,5
82,-9.024390243902438,5
83,-9.036144578313253,5
84,-9.047619047619047,5
85,-9.058823529411764,5
86,-9.069767441860465,5
87,-9.080459770114942,5
88,-9.090909090909092,5
89,-9.101123595505618,5
90,-9.11111111111111,5
91,-9.12087912087912,5
92,-9.021739130434783,5
93,-9.03225806451613,5
94,-9.042553191489361,5
95,-9.052631578947368,5
96,-9.0625,5
97,-9.072164948453608,5
98,-9.081632653061224,5
99,-9.090909090909092,5
100,-9.1,5
101,-9.108910891089108,5
102,-9.117647058823529,5
103,-9.12621359223301,5
104,-9.134615384615385,5
105,-9.142857142857142,5
106,-9.150943396226415,5
107,-9.158878504672897,5
108,-9.166666666666666,5
109,-9.174311926605505,5
110,-9.181818181818182,5
111,-9.18918918918919,5
112,-9.196428571428571,5
113,-9.20353982300885,5
114,-9.210526315789474,5
115,-9.217391304347826,5
116,-9.224137931034482,5
117,-9.23076923076923,5
