Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-10.0,0
8,-10.0,0
9,-10.0,0
10,-10.0,0
11,-10.0,0
12,-10.0,0
13,-10.0,0
14,-10.0,0
15,-10.0,0
16,-10.0,0
17,-10.0,0
18,-10.0,0
19,-10.0,0
20,-10.0,0
21,-10.0,0
22,-10.0,0
23,-10.0,0
24,-10.0,0
25,-10.0,0
26,-10.0,0
27,-10.0,0
28,-10.0,0
29,-10.0,0
30,-10.0,0
31,-10.0,0
32,-10.0,0
33,-10.0,0
34,-9.705882352941176,5
35,-9.714285714285714,5
36,-9.722222222222221,5
37,-9.72972972972973,5
38,-9.736842105263158,5
39,-9.743589743589743,5
40,-9.5,5
41,-9.512195121951219,5
42,-9.523809523809524,5
43,-9.534883720930232,5
44,-9.318181818181818,5
45,-9.11111111111111,5
46,-9.130434782608695,5
47,-9.148936170212766,5
48,-9.166666666666666,5
49,-9.183673469387756,5
50,-9.2,5
51,-9.215686274509803,5
52,-9.23076923076923,5
53,-9.245283018867925,5
54,-9.25925925925926,5
55,-9.272727272727273,5
56,-9.285714285714286,5
57,-9.298245614035087,5
58,-9.310344827586206,5
59,-9.152542372881356,5
60,-9.0,5
61,-9.01639344262295,5
62,-9.03225806451613,5
63,-9.047619047619047,5
64,-9.0625,5
65,-9.076923076923077,5
66,-9.090909090909092,5
67,-8.955223880597014,5
68,-8.823529411764707,5
69,-8.840579710144928,5
70,-8.714285714285714,5
71,-8.732394366197184,5
72,-8.75,5
73,-8.767123287671232,5
74,-8.783783783783784,5
75,-8.8,5
76,-8.81578947368421,5
77,-8.831168831168831,5
78,-8.846153846153847,5
79,-8.860759493670885,5
80,-8.875,5
81,-8.88888888888889,5
82,-8.902439024390244,5
83,-8.91566265060241,5
84,-8.928571428571429,5
85,-8.941176470588236,5
86,-8.837209302325581,5
87,-8.850574712643677,5
88,-8.863636363636363,5
89,-8.876404494382022,5
90,-8.777777777777779,5
91,-8.791208791208792,5
92,-8.804347826086957,5
93,-8.817204301075268,5
94,-8.829787234042554,5
95,-8.842105263157896,5
96,-8.854166666666666,5
97,-8.8659793814433,5
98,-8.775510204081632,5
99,-8.787878787878787,5
100,-8.7,5
101,-8.712871287128714,5
102,-8.72549019607843,5
103,-8.737864077669903,5
104,-8.75,5
105,-8.666666666666666,5
106,-8.584905660377359,5
107,-8.598130841121495,5
108,-8.518518518518519,5
109,-8.53211009174312,5
110,-8.454545454545455,5
111,-8.468468468468469,5
112,-8.482142857142858,5
113,-8.4070796460177,5
114,-8.421052631578947,5
115,-8.347826086956522,5
116,-8.362068965517242,5
117,-8.376068376068377,5
118,-8.305084745762711,5
119,-8.15126050420168,10
120,-8.166666666666666,10
121,-8.181818181818182,10
122,-8.19672131147541,10
123,-8.130081300813009,10
124,-8.14516129032258,10
125,-8.16,10
