Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-6.666666666666667,5
4,-7.5,5
5,-8.0,5
6,-8.333333333333334,5
7,-8.571428571428571,5
8,-8.75,5
9,-8.88888888888889,5
10,-9.0,5
11,-9.090909090909092,5
12,-9.166666666666666,5
13,-9.23076923076923,5
14,-9.285714285714286,5
15,-9.333333333333334,5
16,-9.375,5
17,-9.411764705882353,5
18,-9.444444444444445,5
19,-9.473684210526315,5
20,-9.5,5
21,-9.523809523809524,5
22,-9.545454545454545,5
23,-9.565217391304348,5
24,-9.166666666666666,5
25,-9.2,5
26,-9.23076923076923,5
27,-9.25925925925926,5
28,-9.285714285714286,5
29,-9.310344827586206,5
30,-9.333333333333334,5
31,-9.35483870967742,5
32,-9.375,5
33,-9.393939393939394,5
34,-9.411764705882353,5
35,-9.428571428571429,5
36,-9.444444444444445,5
37,-9.45945945945946,5
38,-9.473684210526315,5
39,-9.23076923076923,5
40,-9.25,5
41,-9.024390243902438,5
42,-9.047619047619047,5
43,-9.069767441860465,5
44,-9.090909090909092,5
45,-9.11111111111111,5
46,-9.130434782608695,5
47,-9.148936170212766,5
48,-9.166666666666666,5
49,-9.183673469387756,5
50,-9.2,5
51,-9.215686274509803,5
52,-9.038461538461538,5
53,-9.056603773584905,5
54,-8.88888888888889,5
55,-8.727272727272727,5
56,-8.75,5
57,-8.771929824561404,5
58,-8.793103448275861,5
59,-8.64406779661017,5
60,-8.666666666666666,5
61,-8.524590163934427,5
62,-8.548387096774194,5
63,-8.571428571428571,5
64,-8.59375,5
65,-8.461538461538462,5
66,-8.333333333333334,5
67,-8.35820895522388,5
68,-8.382352941176471,5
69,-8.405797101449275,5
70,-8.285714285714286,5
71,-8.309859154929578,5
72,-8.194444444444445,5
73,-8.219178082191782,5
74,-7.972972972972973,10
75,-8.0,10
76,-7.7631578947368425,10
77,-7.792207792207792,10
78,-7.6923076923076925,10
79,-7.594936708860759,10
80,-7.625,10
81,-7.654320987654321,10
82,-7.560975609756097,10
83,-7.469879518072289,10
84,-7.380952380952381,10
85,-7.411764705882353,10
86,-6.8604651162790695,25
87,-6.666666666666667,25
88,-6.704545454545454,25
89,-6.741573033707865,25
90,-6.555555555555555,25
91,-6.373626373626373,25
92,-6.304347826086956,25
93,-6.344086021505376,25
94,-6.170212765957447,25
95,-6.105263157894737,25
96,-6.041666666666667,25
97,-6.082474226804123,25
98,-6.020408163265306,25
99,-5.858585858585859,25
100,-5.8,25
101,-5.742574257425742,25
102,-5.686274509803922,25
103,-5.242718446601942,25
104,-5.096153846153846,25
105,-4.9523809523809526,25
106,-4.716981132075472,25
107,-4.766355140186916,25
108,-4.62962962962963,25
109,-4.3119266055045875,25
110,-4.181818181818182,25
111,-3.963963963963964,25
112,-4.017857142857143,25
113,-3.8053097345132745,25
114,-3.8596491228070176,25
115,-3.652173913043478,25
116,-3.4482758620689653,25
