Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-8.571428571428571,0
8,-8.75,0
9,-8.88888888888889,0
10,-9.0,0
11,-9.090909090909092,0
12,-9.166666666666666,0
13,-9.23076923076923,0
14,-9.285714285714286,0
15,-9.333333333333334,0
16,-9.375,0
17,-9.411764705882353,0
18,-9.444444444444445,0
19,-9.473684210526315,0
20,-9.5,0
21,-9.523809523809524,0
22,-9.545454545454545,0
23,-9.565217391304348,0
24,-9.583333333333334,0
25,-9.6,0
26,-9.615384615384615,0
27,-9.62962962962963,0
28,-9.642857142857142,0
29,-9.655172413793103,0
30,-9.333333333333334,0
31,-9.35483870967742,0
32,-9.375,0
33,-9.393939393939394,0
34,-9.411764705882353,0
35,-9.142857142857142,5
36,-9.166666666666666,5
37,-8.91891891891892,5
38,-8.947368421052632,5
39,-8.974358974358974,5
40,-9.0,5
41,-9.024390243902438,5
42,-9.047619047619047,5
43,-9.069767441860465,5
44,-9.090909090909092,5
45,-9.11111111111111,5
46,-9.130434782608695,5
47,-9.148936170212766,5
48,-9.166666666666666,5
49,-9.183673469387756,5
50,-9.2,5
51,-9.215686274509803,5
52,-9.23076923076923,5
53,-9.245283018867925,5
54,-9.25925925925926,5
55,-9.090909090909092,5
56,-9.107142857142858,5
57,-9.12280701754386,5
58,-8.96551724137931,5
59,-8.983050847457626,5
60,-8.833333333333334,5
61,-8.852459016393443,5
62,-8.709677419354838,5
63,-8.73015873015873,5
64,-8.75,5
65,-8.76923076923077,5
66,-8.787878787878787,5
67,-8.656716417910447,5
68,-8.676470588235293,5
69,-8.695652173913043,5
70,-8.714285714285714,5
71,-8.732394366197184,5
72,-8.75,5
73,-8.767123287671232,5
74,-8.64864864864865,5
75,-8.533333333333333,5
76,-8.552631578947368,5
77,-8.571428571428571,5
78,-8.58974358974359,5
79,-8.60759493670886,5
80,-8.625,5
81,-8.641975308641975,5
82,-8.658536585365853,5
83,-8.674698795180722,5
84,-8.571428571428571,5
85,-8.588235294117647,5
86,-8.488372093023257,5
87,-8.39080459770115,5
88,-8.409090909090908,5
89,-8.426966292134832,5
90,-8.444444444444445,5
91,-8.351648351648352,5
92,-8.369565217391305,5
93,-8.279569892473118,5
94,-8.297872340425531,5
95,-8.210526315789474,5
96,-8.125,5
97,-7.938144329896907,10
98,-7.857142857142857,10
99,-7.878787878787879,10
100,-7.7,10
101,-7.7227722772277225,10
102,-7.647058823529412,10
103,-7.281553398058253,20
104,-7.211538461538462,20
105,-7.238095238095238,20
106,-7.0754716981132075,20
107,-7.009345794392523,20
108,-7.037037037037037,20
109,-6.972477064220183,20
110,-6.818181818181818,20
111,-6.666666666666667,20
112,-6.607142857142857,20
113,-6.371681415929204,20
114,-6.4035087719298245,20
115,-6.434782608695652,20
116,-6.379310344827586,20
117,-6.410256410256411,20
118,-6.440677966101695,20
