Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-10.0,0
8,-10.0,0
9,-10.0,0
10,-10.0,0
11,-10.0,0
12,-10.0,0
13,-10.0,0
14,-10.0,0
15,-10.0,0
16,-10.0,0
17,-10.0,0
18,-10.0,0
19,-10.0,0
20,-10.0,0
21,-10.0,0
22,-10.0,0
23,-9.565217391304348,5
24,-9.583333333333334,5
25,-9.6,5
26,-9.615384615384615,5
27,-9.62962962962963,5
28,-9.285714285714286,5
29,-8.620689655172415,10
30,-8.666666666666666,10
31,-8.387096774193548,10
32,-8.4375,10
33,-8.484848484848484,10
34,-8.529411764705882,10
35,-8.571428571428571,10
36,-8.61111111111111,10
37,-8.64864864864865,10
38,-8.68421052631579,10
39,-8.717948717948717,10
40,-8.75,10
41,-8.78048780487805,10
42,-8.80952380952381,10
43,-8.837209302325581,10
44,-8.863636363636363,10
45,-8.88888888888889,10
46,-8.695652173913043,10
47,-8.72340425531915,10
48,-8.75,10
49,-8.571428571428571,10
50,-8.6,10
51,-8.627450980392156,10
52,-8.26923076923077,10
53,-8.30188679245283,10
54,-8.333333333333334,10
55,-8.363636363636363,10
56,-8.392857142857142,10
57,-8.421052631578947,10
58,-8.275862068965518,10
59,-8.305084745762711,10
60,-8.166666666666666,10
61,-7.868852459016393,10
62,-7.903225806451613,10
63,-7.936507936507937,10
64,-7.96875,10
65,-8.0,10
66,-8.030303030303031,10
67,-7.7611940298507465,10
68,-7.647058823529412,10
69,-7.536231884057971,10
70,-7.285714285714286,10
71,-7.183098591549296,10
72,-6.805555555555555,15
73,-6.575342465753424,15
74,-6.486486486486487,15
75,-6.266666666666667,15
76,-6.052631578947368,15
77,-6.103896103896104,15
78,-6.0256410256410255,15
79,-5.949367088607595,15
80,-6.0,15
81,-5.802469135802469,15
82,-5.853658536585366,15
83,-5.903614457831325,15
84,-5.9523809523809526,15
85,-5.647058823529412,15
86,-5.6976744186046515,15
87,-5.747126436781609,15
88,-5.795454545454546,15
89,-5.617977528089888,15
90,-5.555555555555555,15
91,-5.4945054945054945,15
92,-5.326086956521739,15
93,-5.376344086021505,15
94,-5.319148936170213,15
95,-5.368421052631579,15
96,-5.3125,15
97,-5.360824742268041,15
98,-4.8979591836734695,25
99,-4.94949494949495,25
100,-4.8,25
101,-4.752475247524752,25
102,-4.705882352941177,25
103,-4.660194174757281,25
104,-4.711538461538462,25
105,-4.476190476190476,25
106,-4.339622641509434,25
107,-4.392523364485982,25
108,-3.888888888888889,30
109,-3.761467889908257,30
110,-3.6363636363636362,30
111,-3.6036036036036037,30
112,-3.482142857142857,30
113,-3.4513274336283186,30
114,-3.0701754385964914,30
115,-2.869565217391304,30
116,-2.8448275862068964,30
117,-2.8205128205128207,30
118,-2.711864406779661,30
119,-2.689075630252101,30
120,-2.5833333333333335,30
121,-2.56198347107438,30
