Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-10.0,0
8,-10.0,0
9,-10.0,0
10,-10.0,0
11,-10.0,0
12,-10.0,0
13,-10.0,0
14,-10.0,0
15,-10.0,0
16,-10.0,0
17,-10.0,0
18,-10.0,0
19,-10.0,0
20,-10.0,0
21,-10.0,0
22,-10.0,0
23,-10.0,0
24,-10.0,0
25,-10.0,0
26,-10.0,0
27,-10.0,0
28,-10.0,0
29,-10.0,0
30,-10.0,0
31,-10.0,0
32,-10.0,0
33,-10.0,0
34,-10.0,0
35,-10.0,0
36,-10.0,0
37,-10.0,0
38,-10.0,0
39,-9.743589743589743,5
40,-9.75,5
41,-9.75609756097561,5
42,-9.761904761904763,5
43,-9.767441860465116,5
44,-9.772727272727273,5
45,-9.777777777777779,5
46,-9.782608695652174,5
47,-9.574468085106384,5
48,-9.583333333333334,5
49,-9.591836734693878,5
50,-9.4,5
51,-9.411764705882353,5
52,-9.423076923076923,5
53,-9.245283018867925,5
54,-9.25925925925926,5
55,-9.272727272727273,5
56,-9.285714285714286,5
57,-9.298245614035087,5
58,-9.310344827586206,5
59,-9.152542372881356,5
60,-9.166666666666666,5
61,-9.01639344262295,5
62,-9.03225806451613,5
63,-9.047619047619047,5
64,-9.0625,5
65,-9.076923076923077,5
66,-8.93939393939394,5
67,-8.955223880597014,5
68,-8.970588235294118,5
69,-8.840579710144928,5
70,-8.857142857142858,5
71,-8.873239436619718,5
72,-8.88888888888889,5
73,-8.767123287671232,5
74,-8.783783783783784,5
75,-8.8,5
76,-8.81578947368421,5
77,-8.831168831168831,5
78,-8.717948717948717,5
79,-8.734177215189874,5
80,-8.75,5
81,-8.641975308641975,5
82,-8.658536585365853,5
83,-8.674698795180722,5
84,-8.69047619047619,5
85,-8.588235294117647,5
86,-8.604651162790697,5
87,-8.620689655172415,5
88,-8.409090909090908,10
89,-8.089887640449438,15
90,-8.11111111111111,15
91,-8.131868131868131,15
92,-8.152173913043478,15
93,-8.172043010752688,15
94,-8.191489361702128,15
95,-8.210526315789474,15
96,-8.125,15
97,-8.041237113402062,15
98,-8.061224489795919,15
99,-8.080808080808081,15
100,-8.0,15
101,-7.920792079207921,15
102,-7.9411764705882355,15
103,-7.961165048543689,15
104,-7.884615384615385,15
105,-7.809523809523809,15
106,-7.735849056603773,15
107,-7.4766355140186915,15
108,-7.5,15
109,-7.339449541284404,15
110,-7.181818181818182,15
111,-7.027027027027027,15
112,-7.053571428571429,15
113,-6.991150442477876,15
114,-7.017543859649122,15
115,-6.956521739130435,15
116,-6.810344827586207,15
117,-6.837606837606837,15
118,-6.610169491525424,15
119,-6.554621848739496,15
120,-6.583333333333333,15
121,-6.528925619834711,15
122,-6.557377049180328,15
123,-6.585365853658536,15
124,-6.612903225806452,15
125,-6.32,20
126,-6.190476190476191,20
