Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-10.0,0
8,-10.0,0
9,-10.0,0
10,-10.0,0
11,-10.0,0
12,-10.0,0
13,-10.0,0
14,-10.0,0
15,-10.0,0
16,-10.0,0
17,-10.0,0
18,-10.0,0
19,-10.0,0
20,-10.0,0
21,-10.0,0
22,-10.0,0
23,-10.0,0
24,-10.0,0
25,-10.0,0
26,-10.0,0
27,-10.0,0
28,-10.0,0
29,-10.0,0
30,-10.0,0
31,-10.0,0
32,-10.0,0
33,-10.0,0
34,-10.0,0
35,-10.0,0
36,-10.0,0
37,-10.0,0
38,-10.0,0
39,-10.0,0
40,-9.75,5
41,-9.75609756097561,5
42,-9.761904761904763,5
43,-9.534883720930232,5
44,-9.545454545454545,5
45,-9.333333333333334,5
46,-9.347826086956522,5
47,-9.148936170212766,5
48,-8.958333333333334,5
49,-8.979591836734693,5
50,-9.0,5
51,-8.627450980392156,10
52,-8.653846153846153,10
53,-8.49056603773585,10
54,-8.148148148148149,10
55,-8.0,10
56,-8.035714285714286,10
57,-7.719298245614035,10
58,-7.758620689655173,10
59,-7.627118644067797,10
60,-7.5,10
61,-7.540983606557377,10
62,-7.580645161290323,10
63,-7.619047619047619,10
64,-7.65625,10
65,-7.538461538461538,10
66,-7.575757575757576,10
67,-7.462686567164179,10
68,-7.352941176470588,10
69,-7.391304347826087,10
70,-7.285714285714286,10
71,-7.183098591549296,10
72,-7.222222222222222,10
73,-7.260273972602739,10
74,-7.297297297297297,10
75,-7.333333333333333,10
76,-7.2368421052631575,10
77,-7.2727272727272725,10
78,-7.3076923076923075,10
79,-7.215189873417722,10
80,-7.125,10
81,-7.160493827160494,10
82,-7.073170731707317,10
83,-6.9879518072289155,10
84,-6.904761904761905,10
85,-6.9411764705882355,10
86,-6.8604651162790695,10
87,-6.896551724137931,10
88,-6.931818181818182,10
89,-6.741573033707865,10
90,-6.666666666666667,10
91,-6.593406593406593,10
92,-6.630434782608695,10
93,-6.559139784946237,10
94,-6.595744680851064,10
95,-6.631578947368421,10
96,-6.666666666666667,10
97,-6.082474226804123,30
98,-6.122448979591836,30
99,-5.757575757575758,30
100,-5.8,30
101,-5.643564356435643,30
102,-5.686274509803922,30
103,-5.533980582524272,30
104,-5.576923076923077,30
105,-5.428571428571429,30
106,-5.0,30
107,-4.953271028037383,30
108,-4.907407407407407,30
109,-4.495412844036697,30
110,-4.181818181818182,30
111,-3.963963963963964,30
112,-3.8392857142857144,30
113,-3.5398230088495577,30
114,-3.5964912280701755,30
115,-3.217391304347826,30
116,-2.8448275862068964,30
117,-2.4786324786324787,30
118,-2.3728813559322033,30
119,-2.3529411764705883,30
120,-2.0833333333333335,30
121,-2.1487603305785123,30
122,-1.9672131147540983,30
123,-1.8699186991869918,30
124,-1.4516129032258065,30
125,-1.44,30
