Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-10.0,0
8,-10.0,0
9,-10.0,0
10,-10.0,0
11,-10.0,0
12,-10.0,0
13,-10.0,0
14,-10.0,0
15,-10.0,0
16,-10.0,0
17,-10.0,0
18,-10.0,0
19,-10.0,0
20,-10.0,0
21,-9.523809523809524,0
22,-9.545454545454545,0
23,-9.130434782608695,5
24,-9.166666666666666,5
25,-9.2,5
26,-9.23076923076923,5
27,-8.88888888888889,5
28,-8.928571428571429,5
29,-8.96551724137931,5
30,-9.0,5
31,-9.03225806451613,5
32,-9.0625,5
33,-9.090909090909092,5
34,-9.117647058823529,5
35,-9.142857142857142,5
36,-9.166666666666666,5
37,-9.18918918918919,5
38,-8.947368421052632,5
39,-8.974358974358974,5
40,-9.0,5
41,-9.024390243902438,5
42,-9.047619047619047,5
43,-9.069767441860465,5
44,-9.090909090909092,5
45,-9.11111111111111,5
46,-8.91304347826087,5
47,-8.936170212765957,5
48,-8.75,5
49,-8.775510204081632,5
50,-8.6,5
51,-8.627450980392156,5
52,-8.653846153846153,5
53,-8.679245283018869,5
54,-8.703703703703704,5
55,-8.727272727272727,5
56,-8.75,5
57,-8.771929824561404,5
58,-8.793103448275861,5
59,-8.64406779661017,5
60,-8.666666666666666,5
61,-8.688524590163935,5
62,-8.548387096774194,5
63,-8.412698412698413,5
64,-8.28125,5
65,-8.307692307692308,5
66,-8.030303030303031,10
67,-8.059701492537313,10
68,-8.088235294117647,10
69,-7.971014492753623,10
70,-8.0,10
71,-8.028169014084508,10
72,-8.055555555555555,10
73,-8.082191780821917,10
74,-7.972972972972973,10
75,-7.866666666666666,10
76,-7.894736842105263,10
77,-7.792207792207792,10
78,-7.82051282051282,10
79,-7.7215189873417724,10
80,-7.625,10
81,-7.530864197530864,10
82,-7.439024390243903,10
83,-7.469879518072289,10
84,-7.5,10
85,-7.529411764705882,10
86,-7.558139534883721,10
87,-7.586206896551724,10
88,-7.5,10
89,-7.52808988764045,10
90,-7.555555555555555,10
91,-7.582417582417582,10
92,-7.5,10
93,-7.526881720430108,10
94,-7.553191489361702,10
95,-7.578947368421052,10
96,-7.604166666666667,10
97,-7.628865979381444,10
98,-7.551020408163265,10
99,-7.373737373737374,10
100,-7.4,10
101,-7.425742574257426,10
102,-7.352941176470588,10
103,-7.184466019417476,10
104,-7.211538461538462,10
105,-7.142857142857143,10
106,-7.0754716981132075,10
107,-7.009345794392523,10
108,-6.851851851851852,10
109,-6.8807339449541285,10
110,-6.909090909090909,10
111,-6.936936936936937,10
112,-6.785714285714286,10
113,-6.814159292035399,10
114,-6.754385964912281,10
115,-6.782608695652174,10
116,-6.810344827586207,10
117,-6.837606837606837,10
118,-6.694915254237288,10
119,-6.302521008403361,25
120,-6.25,25
121,-6.198347107438017,25
122,-6.229508196721311,25
