Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-10.0,0
8,-10.0,0
9,-10.0,0
10,-10.0,0
11,-10.0,0
12,-10.0,0
13,-10.0,0
14,-10.0,0
15,-10.0,0
16,-10.0,0
17,-10.0,0
18,-10.0,0
19,-10.0,0
20,-10.0,0
21,-9.523809523809524,5
22,-9.545454545454545,5
23,-9.565217391304348,5
24,-9.583333333333334,5
25,-9.6,5
26,-9.615384615384615,5
27,-9.62962962962963,5
28,-9.642857142857142,5
29,-9.655172413793103,5
30,-9.666666666666666,5
31,-9.67741935483871,5
32,-9.6875,5
33,-9.696969696969697,5
34,-9.705882352941176,5
35,-9.714285714285714,5
36,-9.722222222222221,5
37,-9.72972972972973,5
38,-9.736842105263158,5
39,-9.743589743589743,5
40,-9.75,5
41,-9.75609756097561,5
42,-9.523809523809524,5
43,-9.534883720930232,5
44,-9.545454545454545,5
45,-9.555555555555555,5
46,-9.565217391304348,5
47,-9.574468085106384,5
48,-9.583333333333334,5
49,-9.387755102040817,5
50,-9.4,5
51,-9.411764705882353,5
52,-9.423076923076923,5
53,-9.433962264150944,5
54,-9.444444444444445,5
55,-9.454545454545455,5
56,-9.464285714285714,5
57,-9.473684210526315,5
58,-9.482758620689655,5
59,-9.491525423728813,5
60,-9.5,5
61,-9.508196721311476,5
62,-9.516129032258064,5
63,-9.523809523809524,5
64,-9.53125,5
65,-9.538461538461538,5
66,-9.545454545454545,5
67,-9.552238805970148,5
68,-9.558823529411764,5
69,-9.565217391304348,5
70,-9.571428571428571,5
71,-9.43661971830986,5
72,-9.444444444444445,5
73,-9.452054794520548,5
74,-9.45945945945946,5
75,-9.466666666666667,5
76,-9.473684210526315,5
77,-9.480519480519481,5
78,-9.487179487179487,5
79,-9.49367088607595,5
80,-9.5,5
81,-9.506172839506172,5
82,-9.512195121951219,5
83,-9.518072289156626,5
84,-9.523809523809524,5
85,-9.529411764705882,5
86,-9.534883720930232,5
87,-9.540229885057471,5
88,-9.545454545454545,5
89,-9.55056179775281,5
90,-9.555555555555555,5
91,-9.56043956043956,5
92,-9.565217391304348,5
93,-9.56989247311828,5
94,-9.574468085106384,5
95,-9.578947368421053,5
96,-9.583333333333334,5
97,-9.587628865979381,5
98,-9.591836734693878,5
99,-9.595959595959595,5
100,-9.6,5
101,-9.603960396039604,5
102,-9.607843137254902,5
103,-9.611650485436893,5
104,-9.615384615384615,5
105,-9.619047619047619,5
106,-9.622641509433961,5
107,-9.626168224299066,5
108,-9.62962962962963,5
109,-9.63302752293578,5
110,-9.636363636363637,5
111,-9.63963963963964,5
112,-9.642857142857142,5
113,-9.646017699115044,5
114,-9.649122807017545,5
115,-9.652173913043478,5
116,-9.655172413793103,5
117,-9.658119658119658,5
118,-9.661016949152541,5
119,-9.663865546218487,5
120,-9.666666666666666,5
