Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-10.0,0
8,-10.0,0
9,-10.0,0
10,-10.0,0
11,-10.0,0
12,-10.0,0
13,-10.0,0
14,-10.0,0
15,-10.0,0
16,-10.0,0
17,-10.0,0
18,-10.0,0
19,-10.0,0
20,-10.0,0
21,-9.523809523809524,5
22,-9.545454545454545,5
23,-9.565217391304348,5
24,-9.583333333333334,5
25,-9.6,5
26,-9.23076923076923,5
27,-9.25925925925926,5
28,-9.285714285714286,5
29,-9.310344827586206,5
30,-9.333333333333334,5
31,-9.35483870967742,5
32,-9.375,5
33,-9.393939393939394,5
34,-9.411764705882353,5
35,-9.428571428571429,5
36,-9.444444444444445,5
37,-9.45945945945946,5
38,-9.473684210526315,5
39,-9.487179487179487,5
40,-9.5,5
41,-9.512195121951219,5
42,-9.523809523809524,5
43,-9.534883720930232,5
44,-9.318181818181818,5
45,-9.11111111111111,5
46,-9.130434782608695,5
47,-9.148936170212766,5
48,-9.166666666666666,5
49,-8.979591836734693,5
50,-9.0,5
51,-9.019607843137255,5
52,-8.846153846153847,5
53,-8.867924528301886,5
54,-8.88888888888889,5
55,-8.909090909090908,5
56,-8.75,5
57,-8.771929824561404,5
58,-8.793103448275861,5
59,-8.64406779661017,5
60,-8.666666666666666,5
61,-8.524590163934427,5
62,-8.548387096774194,5
63,-8.571428571428571,5
64,-8.59375,5
65,-8.615384615384615,5
66,-8.484848484848484,5
67,-8.507462686567164,5
68,-8.382352941176471,5
69,-8.405797101449275,5
70,-8.428571428571429,5
71,-8.450704225352112,5
72,-8.472222222222221,5
73,-8.493150684931507,5
74,-8.513513513513514,5
75,-8.533333333333333,5
76,-8.552631578947368,5
77,-8.441558441558442,5
78,-8.333333333333334,5
79,-8.354430379746836,5
80,-8.25,5
81,-8.271604938271604,5
82,-8.292682926829269,5
83,-8.313253012048193,5
84,-8.333333333333334,5
85,-8.352941176470589,5
86,-8.372093023255815,5
87,-8.39080459770115,5
88,-8.409090909090908,5
89,-8.314606741573034,5
90,-8.222222222222221,5
91,-8.241758241758241,5
92,-8.26086956521739,5
93,-8.172043010752688,5
94,-8.191489361702128,5
95,-8.210526315789474,5
96,-8.229166666666666,5
97,-8.24742268041237,5
98,-8.26530612244898,5
99,-8.282828282828282,5
100,-8.3,5
101,-8.217821782178218,5
102,-8.235294117647058,5
103,-8.155339805825243,5
104,-8.173076923076923,5
105,-8.19047619047619,5
106,-8.20754716981132,5
107,-8.22429906542056,5
108,-8.24074074074074,5
109,-8.256880733944953,5
110,-8.272727272727273,5
111,-8.288288288288289,5
112,-8.214285714285714,5
113,-8.230088495575222,5
114,-8.157894736842104,5
115,-8.08695652173913,5
116,-8.10344827586207,5
117,-8.11965811965812,5
118,-8.135593220338983,5
119,-8.15126050420168,5
120,-8.166666666666666,5
