Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-8.333333333333334,0
7,-8.571428571428571,0
8,-8.75,0
9,-8.88888888888889,0
10,-9.0,0
11,-9.090909090909092,0
12,-9.166666666666666,0
13,-9.23076923076923,0
14,-9.285714285714286,0
15,-9.333333333333334,0
16,-9.375,0
17,-9.411764705882353,0
18,-9.444444444444445,0
19,-9.473684210526315,0
20,-9.5,0
21,-9.523809523809524,0
22,-9.545454545454545,0
23,-9.565217391304348,0
24,-9.583333333333334,0
25,-9.6,0
26,-9.615384615384615,0
27,-9.62962962962963,0
28,-9.642857142857142,0
29,-9.655172413793103,0
30,-9.666666666666666,0
31,-9.67741935483871,0
32,-9.6875,0
33,-9.696969696969697,0
34,-9.705882352941176,0
35,-9.714285714285714,0
36,-9.722222222222221,0
37,-9.72972972972973,0
38,-9.736842105263158,0
39,-9.743589743589743,0
40,-9.25,10
41,-9.268292682926829,10
42,-9.285714285714286,10
43,-9.30232558139535,10
44,-9.318181818181818,10
45,-9.333333333333334,10
46,-9.347826086956522,10
47,-9.361702127659575,10
48,-9.375,10
49,-9.387755102040817,10
50,-9.4,10
51,-9.019607843137255,10
52,-9.038461538461538,10
53,-9.056603773584905,10
54,-9.074074074074074,10
55,-9.090909090909092,10
56,-9.107142857142858,10
57,-9.12280701754386,10
58,-9.137931034482758,10
59,-9.152542372881356,10
60,-9.166666666666666,10
61,-9.180327868852459,10
62,-9.193548387096774,10
63,-9.206349206349206,10
64,-9.21875,10
65,-9.23076923076923,10
66,-9.242424242424242,10
67,-9.253731343283581,10
68,-9.117647058823529,10
69,-8.985507246376812,10
70,-9.0,10
71,-9.014084507042254,10
72,-8.88888888888889,10
73,-8.767123287671232,10
74,-8.783783783783784,10
75,-8.8,10
76,-8.81578947368421,10
77,-8.831168831168831,10
78,-8.717948717948717,10
79,-8.734177215189874,10
80,-8.625,10
81,-8.641975308641975,10
82,-8.658536585365853,10
83,-8.674698795180722,10
84,-8.571428571428571,10
85,-8.588235294117647,10
86,-8.604651162790697,10
87,-8.620689655172415,10
88,-8.522727272727273,10
89,-8.539325842696629,10
90,-8.555555555555555,10
91,-8.461538461538462,10
92,-8.369565217391305,10
93,-8.387096774193548,10
94,-8.404255319148936,10
95,-8.421052631578947,10
96,-8.333333333333334,10
97,-8.24742268041237,10
98,-8.26530612244898,10
99,-8.282828282828282,10
100,-8.3,10
101,-8.316831683168317,10
102,-8.235294117647058,10
103,-8.25242718446602,10
104,-8.26923076923077,10
105,-8.19047619047619,10
106,-8.20754716981132,10
107,-8.130841121495328,10
108,-8.148148148148149,10
109,-8.1651376146789,10
110,-8.0,10
111,-8.018018018018019,10
112,-7.946428571428571,10
113,-7.522123893805309,25
114,-7.368421052631579,25
115,-7.391304347826087,25
116,-7.241379310344827,25
117,-7.17948717948718,25
118,-7.203389830508475,25
