Number Of Games,Average Reward,High Score
1,0.0,0
2,-5.0,0
3,-6.666666666666667,0
4,-5.0,0
5,-6.0,0
6,-6.666666666666667,0
7,-7.142857142857143,0
8,-7.5,0
9,-7.777777777777778,0
10,-8.0,0
11,-8.181818181818182,0
12,-8.333333333333334,0
13,-8.461538461538462,0
14,-8.571428571428571,0
15,-8.666666666666666,0
16,-8.75,0
17,-8.823529411764707,0
18,-8.88888888888889,0
19,-8.947368421052632,0
20,-9.0,0
21,-9.047619047619047,0
22,-8.636363636363637,5
23,-8.695652173913043,5
24,-8.75,5
25,-8.4,5
26,-8.461538461538462,5
27,-8.518518518518519,5
28,-8.571428571428571,5
29,-8.620689655172415,5
30,-8.666666666666666,5
31,-8.709677419354838,5
32,-8.75,5
33,-8.787878787878787,5
34,-8.823529411764707,5
35,-8.571428571428571,5
36,-8.61111111111111,5
37,-8.64864864864865,5
38,-8.68421052631579,5
39,-8.717948717948717,5
40,-8.75,5
41,-8.536585365853659,5
42,-8.571428571428571,5
43,-8.604651162790697,5
44,-8.409090909090908,5
45,-8.444444444444445,5
46,-8.478260869565217,5
47,-8.51063829787234,5
48,-8.333333333333334,5
49,-8.36734693877551,5
50,-8.4,5
51,-8.431372549019608,5
52,-8.461538461538462,5
53,-8.30188679245283,5
54,-7.962962962962963,10
55,-8.0,10
56,-8.035714285714286,10
57,-8.070175438596491,10
58,-7.931034482758621,10
59,-7.966101694915254,10
60,-8.0,10
61,-7.868852459016393,10
62,-7.903225806451613,10
63,-7.619047619047619,10
64,-7.65625,10
65,-7.6923076923076925,10
66,-7.7272727272727275,10
67,-7.7611940298507465,10
68,-7.647058823529412,10
69,-7.681159420289855,10
70,-7.571428571428571,10
71,-7.605633802816901,10
72,-7.638888888888889,10
73,-7.671232876712328,10
74,-7.4324324324324325,10
75,-7.466666666666667,10
76,-7.368421052631579,10
77,-7.402597402597403,10
78,-7.435897435897436,10
79,-7.341772151898734,10
80,-7.375,10
81,-7.283950617283951,10
82,-7.195121951219512,10
83,-7.108433734939759,10
84,-6.904761904761905,10
85,-6.9411764705882355,10
86,-6.744186046511628,10
87,-6.666666666666667,10
88,-6.590909090909091,10
89,-6.404494382022472,10
90,-6.333333333333333,10
91,-6.263736263736264,10
92,-6.304347826086956,10
93,-6.129032258064516,10
94,-6.0638297872340425,10
95,-6.0,10
96,-6.041666666666667,10
97,-5.979381443298969,10
98,-6.020408163265306,10
99,-5.959595959595959,10
100,-5.8,10
101,-5.544554455445544,15
102,-5.490196078431373,15
103,-5.339805825242719,15
104,-5.384615384615385,15
105,-5.333333333333333,15
106,-5.283018867924528,15
107,-5.233644859813084,15
108,-5.277777777777778,15
109,-5.321100917431193,15
110,-5.181818181818182,15
111,-5.135135135135135,15
112,-5.178571428571429,15
113,-5.04424778761062,15
114,-5.087719298245614,15
115,-5.130434782608695,15
116,-5.172413793103448,15
117,-4.957264957264957,15
118,-5.0,15
119,-5.042016806722689,15
120,-5.083333333333333,15
121,-4.793388429752066,20
122,-4.836065573770492,20
123,-4.796747967479675,20
124,-4.67741935483871,20
125,-4.72,20
126,-4.682539682539683,20
127,-4.724409448818897,20
128,-4.765625,20
129,-4.8062015503875966,20
130,-4.846153846153846,20
131,-4.809160305343512,20
132,-4.696969696969697,20
133,-4.285714285714286,30
134,-4.3283582089552235,30
135,-4.296296296296297,30
136,-4.338235294117647,30
137,-4.160583941605839,30
138,-3.8405797101449277,30
139,-3.6690647482014387,30
140,-3.7142857142857144,30
141,-3.7588652482269502,30
142,-3.8028169014084505,30
143,-3.7762237762237763,30
144,-3.75,30
145,-3.7241379310344827,30
146,-3.767123287671233,30
147,-3.8095238095238093,30
148,-3.7162162162162162,30
149,-3.557046979865772,30
150,-3.6,30
151,-3.576158940397351,30
152,-3.4210526315789473,30
153,-3.4640522875816995,30
154,-3.4415584415584415,30
155,-2.967741935483871,40
156,-3.0128205128205128,40
157,-3.0573248407643314,40
158,-2.9746835443037973,40
159,-3.018867924528302,40
160,-3.0,40
161,-2.981366459627329,40
162,-2.962962962962963,40
163,-2.9447852760736195,40
164,-2.5,40
165,-2.5454545454545454,40
166,-2.5903614457831323,40
167,-2.5149700598802394,40
168,-2.5595238095238093,40
169,-2.603550295857988,40
170,-2.5294117647058822,40
171,-2.3391812865497075,40
172,-2.3255813953488373,40
173,-1.907514450867052,40
174,-1.896551724137931,40
175,-1.7142857142857142,40
176,-1.5340909090909092,40
177,-1.4689265536723164,40
178,-1.404494382022472,40
179,-1.229050279329609,40
180,-1.0555555555555556,40
181,-0.994475138121547,40
182,-0.7692307692307693,40
183,-0.7103825136612022,40
184,-0.7608695652173914,40
185,-0.6486486486486487,40
186,-0.5376344086021505,40
187,-0.48128342245989303,40
188,-0.10638297872340426,40
189,-0.15873015873015872,40
190,-0.21052631578947367,40
191,-0.2617801047120419,40
192,-0.3125,40
193,0.05181347150259067,40
194,0.15463917525773196,40
195,0.20512820512820512,40
196,0.15306122448979592,40
197,0.3553299492385787,40
198,0.30303030303030304,40
199,0.3015075376884422,40
200,0.3,40
201,0.3482587064676617,40
202,0.6435643564356436,40
203,0.5911330049261084,40
204,0.5392156862745098,40
205,0.4878048780487805,40
206,0.7281553398058253,40
207,0.7729468599033816,40
208,0.9134615384615384,40
209,0.9090909090909091,40
210,0.9047619047619048,40
211,1.1374407582938388,40
212,1.2735849056603774,40
213,1.5023474178403755,40
214,2.05607476635514,65
215,2.4651162790697674,65
216,2.5462962962962963,65
217,2.9493087557603688,65
218,3.073394495412844,65
219,3.2420091324200913,65
220,3.272727272727273,65
221,3.3484162895927603,65
222,3.4234234234234235,65
223,3.408071748878924,65
224,3.4375,65
225,3.466666666666667,65
226,3.982300884955752,65
227,4.229074889867841,65
228,4.2105263157894735,65
229,4.235807860262009,65
230,4.304347826086956,65
231,4.372294372294372,65
232,4.612068965517241,65
233,4.849785407725322,65
234,4.957264957264957,65
235,5.1063829787234045,65
236,5.211864406779661,65
237,5.232067510548523,65
238,5.504201680672269,65
239,5.7322175732217575,65
240,5.708333333333333,65
241,5.767634854771784,65
242,5.8264462809917354,65
243,5.88477366255144,65
244,5.819672131147541,65
245,5.836734693877551,65
246,5.853658536585366,65
247,5.82995951417004,65
248,5.806451612903226,65
249,5.943775100401607,65
250,6.0,65
251,6.135458167330677,65
252,6.23015873015873,65
253,6.24505928853755,65
254,6.25984251968504,65
255,6.470588235294118,65
256,6.484375,65
257,6.614785992217898,65
258,6.821705426356589,65
259,7.104247104247104,65
260,7.269230769230769,65
261,7.2796934865900385,65
262,7.366412213740458,65
263,7.490494296577947,65
264,7.803030303030303,65
265,8.075471698113208,65
266,8.082706766917294,65
