Number Of Games,Average Reward,High Score
1,-10.0,0
2,-10.0,0
3,-10.0,0
4,-10.0,0
5,-10.0,0
6,-10.0,0
7,-10.0,0
8,-10.0,0
9,-10.0,0
10,-8.0,5
11,-7.2727272727272725,5
12,-6.666666666666667,5
13,-6.923076923076923,5
14,-7.142857142857143,5
15,-7.333333333333333,5
16,-7.5,5
17,-7.647058823529412,5
18,-7.777777777777778,5
19,-7.894736842105263,5
20,-8.0,5
21,-8.095238095238095,5
22,-8.181818181818182,5
23,-8.26086956521739,5
24,-8.333333333333334,5
25,-8.0,5
26,-8.076923076923077,5
27,-8.148148148148149,5
28,-8.214285714285714,5
29,-8.275862068965518,5
30,-8.333333333333334,5
31,-8.387096774193548,5
32,-8.125,5
33,-8.181818181818182,5
34,-8.235294117647058,5
35,-8.285714285714286,5
36,-8.333333333333334,5
37,-8.378378378378379,5
38,-8.421052631578947,5
39,-8.461538461538462,5
40,-8.5,5
41,-8.292682926829269,5
42,-8.333333333333334,5
43,-8.13953488372093,5
44,-7.954545454545454,5
45,-8.0,5
46,-8.043478260869565,5
47,-7.872340425531915,5
48,-7.916666666666667,5
49,-7.959183673469388,5
50,-8.0,5
51,-8.03921568627451,5
52,-8.076923076923077,5
53,-8.11320754716981,5
54,-8.148148148148149,5
55,-8.181818181818182,5
56,-8.214285714285714,5
57,-8.24561403508772,5
58,-8.275862068965518,5
59,-8.305084745762711,5
60,-8.166666666666666,5
61,-8.19672131147541,5
62,-8.225806451612904,5
63,-8.253968253968255,5
64,-8.28125,5
65,-8.307692307692308,5
66,-8.333333333333334,5
67,-8.35820895522388,5
68,-8.235294117647058,5
69,-8.26086956521739,5
70,-8.285714285714286,5
71,-8.309859154929578,5
72,-8.333333333333334,5
73,-8.082191780821917,10
74,-7.837837837837838,10
75,-7.866666666666666,10
76,-7.894736842105263,10
77,-7.922077922077922,10
78,-7.948717948717949,10
79,-7.974683544303797,10
80,-8.0,10
81,-7.901234567901234,10
82,-7.926829268292683,10
83,-7.951807228915663,10
84,-7.976190476190476,10
85,-8.0,10
86,-8.023255813953488,10
87,-8.045977011494253,10
88,-8.068181818181818,10
89,-8.089887640449438,10
90,-8.11111111111111,10
91,-8.131868131868131,10
92,-8.152173913043478,10
93,-8.172043010752688,10
94,-8.191489361702128,10
95,-8.105263157894736,10
96,-8.125,10
97,-8.144329896907216,10
98,-8.16326530612245,10
99,-8.080808080808081,10
100,-7.9,10
101,-7.920792079207921,10
102,-7.9411764705882355,10
103,-7.961165048543689,10
104,-7.884615384615385,10
105,-7.904761904761905,10
106,-7.9245283018867925,10
107,-7.94392523364486,10
108,-7.777777777777778,10
109,-7.798165137614679,10
110,-7.818181818181818,10
111,-7.837837837837838,10
112,-7.857142857142857,10
113,-7.876106194690266,10
114,-7.894736842105263,10
115,-7.826086956521739,10
116,-7.844827586206897,10
117,-7.6923076923076925,10
118,-7.711864406779661,10
